"unique_row","study_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","r","d","d_var","corr","test_lang","stimuli_link","data_link","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","special_cases_measures","x_dif","SD_dif","contrast_sampa","audio_condition","speaker","speech_type","object_stimulus","cue_type","N_AFC","mean_comprehension_vocab","mean_production_vocab","pointing_modality","motive","correlation_type","condition_type","stimulus_naturalness","contrast_pseudoIPA","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","peripherality","Linguistic","words_to_passage","edge_alignment","familiarization_voice","familiarization_register","familiarization_affect","test_voice","test_register","indexical","rule.type","repetitions","types","tokens","expt_condition2","word_round","word_spiky","multiple_age_groups_younger_older","replication","native","label_present","instruction_code","taxonomic_type","tokens_per_trial","word_types_per_cond","publication_type","main_or_baseline_study","Modality","Semantics","TrainingRule","Speech","Nonspeech","CorrectPronunciation","Mispronunciation","is_correct","n_feature","type_feature","mispron_location","scenarios","Hamlin_Lab","stimuli_type","minimal_pairs","cues_present","word_typicality","ME_trial_type","preceding","task_difficulty","median_production_vocab","sentence_structure","agent_argument_type","patient_argument_type","stimuli_modality","stimuli_actor","transitive_event","intransitive_event","presentation_type","character_identification","practice_phase","test_mass_or_distributed","n_train_test_pair","n_test_trial_per_pair","n_repetitions_sentence","n_repetitions_video","learning_domain","live_video","task","rhythm_class","speech_manip","percentV","deltaC","deltaV","VarcoV","nPVI_V","rPVI_C","corr_imputed","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_infant_calc","all_mod","mean_age_months","year"
"1","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,28,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,0.84719761,0.08096599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",0.84719761,0.08096599,0.822759217403846,0.0763622470404956,0.390047542610679,0.012337283886232,0.411856106716453,0.04,1.53664648639875,0.266367430414186,"d_two",1.68333333,28,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"2","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,28,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.0438069,0.0740925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",-0.0438069,0.0740925,-0.0425432394230769,0.0698795851053994,-0.0218981976779466,0.0184964905347544,-0.0219016989740495,0.04,-0.079456927369072,0.243754554695904,"d_two",1.68333333,28,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"3","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,26,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,0.78357467,0.08638549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",0.78357467,0.08638549,0.7590879615625,0.0810707577050781,0.364789306329653,0.0140711970505441,0.382399298226696,0.0434782608695652,1.42124723827604,0.284196870764754,"d_two",1.68333333,26,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"4","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,26,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,0.60958486,0.08386457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",0.60958486,0.08386457,0.590535333125,0.0787049333691406,0.291550826082404,0.0160612422474626,0.300260323548484,0.0434782608695652,1.1056646315148,0.275903376389156,"d_two",1.68333333,26,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"5","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,15,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.2773794,0.1443292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",-0.2773794,0.1443292,-0.261376742307692,0.128156216420118,-0.137374802162545,0.0340777914351681,-0.138248892725213,0.0833333333333333,-0.503110579371669,0.474824035841902,"d_two",1.68333333,15,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"6","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,15,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,0.10566247,0.14307075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",0.10566247,0.14307075,0.0995665582692308,0.127038783561391,0.0527576593136646,0.0354698538306714,0.0528066892604279,0.0833333333333333,0.191650520909417,0.470683901289052,"d_two",1.68333333,15,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"7","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,27,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.2156655,0.07738751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",-0.2156655,0.07738751,-0.209195535,0.072813908159,-0.107211230679248,0.0186873828938614,-0.107624857872827,0.0416666666666667,-0.391173946787255,0.254594703095116,"d_two",1.68333333,27,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"8","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,27,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.308722,0.07787476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",-0.308722,0.07787476,-0.29946034,0.073272361684,-0.152554220335155,0.0181408064425037,-0.153754479598388,0.0416666666666667,-0.559959767325116,0.256197691343259,"d_two",1.68333333,27,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"9","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","(Anisfeld et al., 2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,28,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,0.05847054,0.0741069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",0.05847054,0.0741069,0.0567838898076923,0.0698931663184172,0.0292227842956611,0.0184793016568264,0.0292311070318009,0.04,0.106053828278431,0.24380192879703,"d_two",1.68333333,28,"Anisfeld2001 yes","",0.0553057214316516,"2001"
"10","Anisfeld2001","Anisfeld, M., Turkewitz, G., & Rose, S. A. (2001). No compelling evidence that newborns imitate oral gestures. Infancy, 2, 111ñ122","Anisfeld et al. (2001)","yes","SF",NA,NA,"yes","behavior","not_applicable","imitation","actions_produced","within_two","not reported","typical",NA,NA,28,NA,1.68333333,NA,NA,NA,NA,NA,NA,NA,NA,0.08153743,0.07413791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neonatal Imitation","neonatal_imitation","cognitive_development",0.08153743,0.07413791,0.07918538875,0.069922413083395,0.0407348765775018,0.0184423660594202,0.0407574299057034,0.04,0.147892538695292,0.243903947607856,"d_two",1.68333333,28,"Anisfeld2001 yes","",0.0553057214316516,"2001"
